"text","created_at"
"Bridgetowne yow","2020-05-25T09:14:30.000Z"
"@Kookie07Jeon Can't stop laughing tf HAHAHAHAHHAHAH","2020-05-25T09:14:30.000Z"
"One of my favğŸ¤§â™¥ï¸
#ë°±í˜„ #BAEKHYUN #ì—‘ì†Œ #EXO #weareoneEXO #Delight #Candy #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ @weareoneEXO @B_hundred_Hyun https://t.co/ga6AJ4az5p","2020-05-25T09:14:31.000Z"
"Wag tayo magmeryenda kasi magsamgyeopsal party na naman later ğŸ’“âœ¨","2020-05-25T09:14:31.000Z"
"@jeshyang Sadyang hindi lang talaga nag work yung brain niya kaya ganyan sya mag criticize about #TheKingEternalMonarch gigil din ako ehhh!!!! ğŸ˜¤","2020-05-25T09:14:31.000Z"
"@giegiedc Ohhhh","2020-05-25T09:14:32.000Z"
"@YusepengC Huy!!! AHAHAHA","2020-05-25T09:14:33.000Z"
"Ang taray ng tatay ko sa sasakyan nag papaaircon aba aba.","2020-05-25T09:14:34.000Z"
"Kalami nalang gyud e post sakong mga pictures nga di pwede e post hahaahahahha","2020-05-25T09:14:34.000Z"
"Ini lagu untukmuâ€¦ Candy oleh BAEKHYUN
https://t.co/qQvRKuT1if
#ë°±í˜„ #BAEKHYUN #ì—‘ì†Œ #EXO #weareoneEXO #Delight #Candy #BAEKHYUN_Candy #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬","2020-05-25T09:14:34.000Z"
"So unfair! ğŸ˜­ğŸ˜­ğŸ˜­ Kaya hindi rin ako nag sisi na nag resign ako sa gitna ng COVID pandemic","2020-05-25T09:14:35.000Z"
"byeee imma listen to the b-tracks #Delight","2020-05-25T09:14:37.000Z"
"@gmawowowin 0âƒ£9âƒ£3âƒ£0âƒ£  3âƒ£1âƒ£8âƒ£  8âƒ£6âƒ£8âƒ£1âƒ£
MARIPOL SEBASTIAN 
LAS PIÃ‘AS CITY 
#Shopee #Frontrow 
#Gencee #Plemex
SALAMAT PO PLEMEX","2020-05-25T09:14:38.000Z"
"Sarap ng araw na ituuuğŸ’–ğŸ’–ğŸ¥°","2020-05-25T09:14:38.000Z"
"@samantha11_15 twittera kana din pe hahhaha","2020-05-25T09:14:40.000Z"
"@imghariemay HAHAHAHAHAHAHAHAHAHAHAHAHA TRUE KULET KAINEZ HAHAHAHAHA DDS ATA TROPA NI PAPA ğŸ˜‚","2020-05-25T09:14:41.000Z"
"@Alonzotrishaa

-cutie pie
-baby face
-gorgeous!!","2020-05-25T09:14:42.000Z"
"Ikaw matapang ka magsabi ng wampipti, eh ikaw naman wankey lang HAHAHAHAHAHAHAHAHA","2020-05-25T09:14:43.000Z"
"ify https://t.co/ReJ8uPgD2C","2020-05-25T09:14:43.000Z"
"andaming spoiler talaga ng mga bagong update ng kahit anong stories sa wattpad. kainis!","2020-05-25T09:14:43.000Z"
"Pasikat tong #aiai na ito eh. https://t.co/UqkiQtGDUO","2020-05-25T09:14:46.000Z"
"di na ko magpupuyat grr","2020-05-25T09:14:47.000Z"
"@Aldrineeeeeee ğŸ’ğŸ‰","2020-05-25T09:14:47.000Z"
"mura mag akong uyab ig mahubog sgeg panguot hahahaha aw https://t.co/BShpHsD77s","2020-05-25T09:14:47.000Z"
"@gmawowowin 0âƒ£9âƒ£3âƒ£0âƒ£  3âƒ£1âƒ£8âƒ£  8âƒ£6âƒ£8âƒ£1âƒ£
MARIPOL SEBASTIAN 
LAS PIÃ‘AS CITY 
#Shopee #Frontrow 
#Gencee #Plemex
SALAMAT GENCEE","2020-05-25T09:14:49.000Z"
"@syazlianasobri so do you ğŸ’•","2020-05-25T09:14:52.000Z"
"No empty carbs day starts tomorrow! Help me. Hahaha","2020-05-25T09:14:55.000Z"
"@LarsLayag AHAHAHHAHAHAHAHA BORNEKELS","2020-05-25T09:14:55.000Z"
"Every wait has a worth","2020-05-25T09:14:55.000Z"
"Snack TimeğŸ¥¤ğŸğŸ”ğŸŸ from McDonald's  when we crave for cheeseburger mcdo_ph I so likeğŸ‘and loveâ¤ï¸it... #PhotoOfTheDayğŸ“· #McDonalds #McDoPh #LoveKoTo #SatisfiedCravings #SnackTime #HomeSweetHome #Fambam #Quarantineâ€¦ https://t.co/eh9QJ5LkDC","2020-05-25T09:14:56.000Z"
"Kasama ko mga fav. Ko na taoğŸ’–ğŸ¤—","2020-05-25T09:14:58.000Z"
"@joannaxmaru Problema ko din iyan dapat di tumaba kukha eh","2020-05-25T09:14:58.000Z"
"Already out on Spotify @B_hundred_Hyun
#baekhyun #Delight #BAEKHYUN_Candy
Hereâ€™s an album for youâ€¦ Delight - The 2nd Mini Album BAEKHYUN
https://t.co/qttG9EGWPC","2020-05-25T09:14:59.000Z"
"Did you all notice those City Lights posters? Waaaah I'm soft! @B_hundred_Hyun @weareoneEXO  #ë°±í˜„ #BAEKHYUN #ì—‘ì†Œ #EXO #weareoneEXO #Delight #Candy #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ https://t.co/In2IZficIS","2020-05-25T09:15:00.000Z"
"@djryankumu #TutokToWinSaWowowin 
Sana po matawagan po ako","2020-05-25T09:15:01.000Z"
"Helluva Summer ğŸ”¥ #SummerTime https://t.co/j5BLM0hNTp","2020-05-25T09:15:01.000Z"
"@MCPEDL I Don't get this?
I fixed Everything and this is the 5th time?. https://t.co/G5yg5i3RKm","2020-05-25T09:15:02.000Z"
"Salamat Shoppee HAHAHAHHA","2020-05-25T09:15:06.000Z"
"#BAEKHYUN_CANDY #Delight https://t.co/tnUZ2u11Rk","2020-05-25T09:15:07.000Z"
"#ë¹„íˆ¬ë¹„ #BTOB 
#ì„œì€ê´‘ #SEO_EUNKWANG 
#ì„œë #Dear_My_Dear @OFFICIALBTOB https://t.co/ioljUdJ9YH https://t.co/RCDUzvoKwg","2020-05-25T09:15:07.000Z"
"Nagbayag ta orderen","2020-05-25T09:15:08.000Z"
"Not in any way close to what I feel right now. #quarantinecover https://t.co/74jlmLY1AL","2020-05-25T09:15:10.000Z"
"last na pOh,, https://t.co/jcLIzxEuVM","2020-05-25T09:15:10.000Z"
"@alizeh_oh as in!!! ğŸ˜ğŸ˜ğŸ˜ https://t.co/102rhUvrnX","2020-05-25T09:15:10.000Z"
"@bendeveraINQ Superpower to bring in more POGO?","2020-05-25T09:15:11.000Z"
"stream candy now https://t.co/PwziHEbWb3","2020-05-25T09:15:12.000Z"
"@gmawowowin 0âƒ£9âƒ£3âƒ£0âƒ£  3âƒ£1âƒ£8âƒ£  8âƒ£6âƒ£8âƒ£1âƒ£
MARIPOL SEBASTIAN 
LAS PIÃ‘AS CITY 
#Shopee #Frontrow 
#Gencee #Plemex https://t.co/9rjGScxGko","2020-05-25T09:15:12.000Z"
"Haneeeep https://t.co/88SHqsrRXw","2020-05-25T09:15:12.000Z"
"am zo proud of mahself for holding back from using my last money, that was really closeee tho'","2020-05-25T09:15:16.000Z"
"Di ako pagod, pero pagod na ako sa sarili ko hshshshshs","2020-05-25T09:15:17.000Z"
"ğŸ¤­ğŸ¤­ğŸ¤­ğŸ¤­ğŸ¤­ğŸ¤­ğŸ¤­","2020-05-25T09:15:17.000Z"
"Nabayag nak toy war agur urayen aysos","2020-05-25T09:15:20.000Z"
"Here's the link for the TikTok_Stage_LiveFromSeol @OfficialMonstaX
#MONSTA_X #ëª¬ìŠ¤íƒ€ì—‘ìŠ¤ #MONSTAX
 https://t.co/rRInZfvIXh","2020-05-25T09:15:21.000Z"
"Hindi naman bayad tong pinapaurgent niyo kairita","2020-05-25T09:15:22.000Z"
"yung pimples ko sa pisnge di na ko nilubayan walangya","2020-05-25T09:15:24.000Z"
"@plnvlxsz ğŸ’ğŸ‰","2020-05-25T09:15:26.000Z"
"Tara kain! ğŸ˜‡ @ Muntinlupa City https://t.co/7Y4tibRa67","2020-05-25T09:15:26.000Z"
"Omgggg kahapon lang ako nag tweet na gusto kong kumain nga Chicken Burger sa Cafe Juan huhuhu andito naaağŸ˜«ğŸ˜­ğŸ¥°ğŸ¤¤ Thank you dito loveeeeğŸ¥°ğŸ¥°ğŸ¥°

Ps: one city away pa po ang Cafe Juan samin at hindi pa pwedeng pumunta don, but i got itğŸ¥° https://t.co/PoHt2airEy","2020-05-25T09:15:26.000Z"
"Gusto ko ng carbonara na maraming bacon ğŸ˜­","2020-05-25T09:15:27.000Z"
"So bored I sent @iamcardib a message about Lumpia. Dafuq. ğŸ˜†","2020-05-25T09:15:28.000Z"
"GAANO KAHAROTTT???  https://t.co/9SmUK3k1po","2020-05-25T09:15:29.000Z"
"@pattycrizaldo Diko naman sila pag bebentahan ng alak hahahaha","2020-05-25T09:15:30.000Z"
""" i know you love her but it's over mate, it doesn't matter put the phone away""","2020-05-25T09:15:30.000Z"
"Naluya man hinuon ko ğŸ˜ª","2020-05-25T09:15:30.000Z"
"@pusitronic @Victorious_0410 Bakit Nephro and rheuma?","2020-05-25T09:15:31.000Z"
"I AM SO PROUD AND HAPPY. CONGRATS B! ğŸ¥ºğŸ˜ https://t.co/qU9mQ95J1M","2020-05-25T09:15:32.000Z"
"tagal ng ulan gusto ko umiyak","2020-05-25T09:15:33.000Z"
"@gmanetwork #TutokToWinSaWowowin","2020-05-25T09:15:36.000Z"
"Kaya ba today MOR? wahaha

#PPopGenerationOnMOR","2020-05-25T09:15:39.000Z"
"Happy na kay ka ana ghoorl? Na inorder tanan sa shoppee imo aupt hahah https://t.co/V8W7HbNkAX","2020-05-25T09:15:39.000Z"
"@lnkylrsls @Djssharry_ Set na kaya????","2020-05-25T09:15:42.000Z"
"@ynamrv may tama HAHAHAHAHA","2020-05-25T09:15:42.000Z"
"Another one!!! #BAEKHYUNE_CANDY @weareoneEXO https://t.co/fPDjdvn77s","2020-05-25T09:15:43.000Z"
"#Delight album really speaks #BAEKHYUN!!! I love this vibe!!! It's giving me that 'I know that you like me' feels. ğŸ˜â¤ï¸ You really like teasing us @B_hundred_Hyun!!! ğŸ’• @weareoneEXO @exoonearewe","2020-05-25T09:15:43.000Z"
"Teary-eyed din kayo the whole time? Kasi ako ooğŸ¤§
#ë°±í˜„ #BAEKHYUN #ì—‘ì†Œ #EXO #weareoneEXO #Delight #Candy #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ @weareoneEXO @B_hundred_Hyun","2020-05-25T09:15:44.000Z"
"ang cute cute mo talaga bebe q ğŸ¥°ğŸ¥°ğŸ¥° https://t.co/e9GF6EQzoq","2020-05-25T09:15:44.000Z"
"@AlterdudesCom Nice","2020-05-25T09:15:45.000Z"
"Awit","2020-05-25T09:15:46.000Z"
"doctor amp, parang kayang kaya eh ğŸ˜‚ https://t.co/xOLU4EJiPJ","2020-05-25T09:15:47.000Z"
"@psyrainerosee Hoooooy dli ra kaha kaayo Psy HAHHHAAHA","2020-05-25T09:15:49.000Z"
"@Victorious_0410 Nakakamiss lahat po yan area ko ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚","2020-05-25T09:15:51.000Z"
"When puberty hits you nga namanâ¤ï¸ https://t.co/osejmhFsiY","2020-05-25T09:15:52.000Z"
"OMG https://t.co/RTFHBAqJHf","2020-05-25T09:15:53.000Z"
"@AnnikaRoces ğŸ‘ğŸ‰ğŸ’ğŸ‡","2020-05-25T09:15:54.000Z"
"ğŸ˜­ isa ka case please ğŸ˜­ https://t.co/fd1QZuaRt5","2020-05-25T09:15:54.000Z"
"Sakit tiyan ko HAHHAHA","2020-05-25T09:15:55.000Z"
"Mental health","2020-05-25T09:15:58.000Z"
"@TutokToWin Hello po kuya will sana po palarin narin po ako ako dito sa #TUTOKTOWIN SA #WOWOWIN PO ako si ELISA AGUSTIN VILLARMA PO taga QUEZON PALAWAN PO 09105358829 salamat po at Good bless po","2020-05-25T09:15:59.000Z"
"Lamias jabee oy ğŸ˜‚","2020-05-25T09:16:01.000Z"
"Ang gondooo talagaa https://t.co/mmXSvpucaE","2020-05-25T09:16:01.000Z"
"ğŸ¥º https://t.co/EO3OhTJWRF","2020-05-25T09:16:01.000Z"
"@alynnhh HAHAHAHAHAHAHHAAHAHAHAHAHAHAHAHAHAHAHAH NATAWA KAME KANINA AS IN","2020-05-25T09:16:01.000Z"
"BAEKHYUN ë°±í˜„ 'Candy' MV https://t.co/pkGOyWlMyh via @YouTube   #baekhyun #delight #BAEKHYUN_Candy #BAEKHYUNOURCANDY #BAEKHYUN1millionseller","2020-05-25T09:16:03.000Z"
"@eybcdefghijk Yey may kasama ako ğŸ˜‚","2020-05-25T09:16:06.000Z"
"Soon","2020-05-25T09:16:06.000Z"
"HiğŸ˜‰ https://t.co/OTcLwFraXb","2020-05-25T09:16:08.000Z"
"@jcpunongbayan Steal as one? Whoâ€™s the one?","2020-05-25T09:16:10.000Z"
"IF. IMPROVES. https://t.co/MyFINNVk4C","2020-05-25T09:16:11.000Z"
"Sana makabawi na mamayağŸ™‚","2020-05-25T09:16:14.000Z"
"@jntexpressph Hehehehe can you also check this 780320856646","2020-05-25T09:16:14.000Z"
"PUTANGINA WALA NA AKONG PERA MAG E ENROLL PA AKO SA UST POTA 55K!!!!!!! ITIGIL NYO MUNA TOH!!!!!!!!!! https://t.co/SyeloplriL","2020-05-25T09:16:14.000Z"
"Baehyun World Domination #ë°±í˜„Â Â  #BAEKHYUNÂ Â  #ì—‘ì†Œ #EXO #weareoneEXO #DelightÂ Â  #Candy #BAEKHYUN_CandyÂ Â  #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ https://t.co/kePTz3VVwW","2020-05-25T09:16:15.000Z"
"@Larahvyl Thank u gağŸ’–","2020-05-25T09:16:15.000Z"
"Grabe ang ka-igang sa world. Lagkitaazzz","2020-05-25T09:16:15.000Z"
"Bakit naman ganito tinginan baek! Puta! Haha #Baekhyun #Baekhyun_Candy #ë°±í˜„ https://t.co/OPuXflITLF","2020-05-25T09:16:18.000Z"
"B: Something original...

Also B: My undercut this 2020 y'll

#BAEKHYUN_Candy #BAEKHYUNOURCANDY #Delight #Baekhyun #BAEKHYUN_HalfMillion_Congrats @weareoneEXO @B_hundred_Hyun @EXO_NEWS_JP #EXO #weareoneEXO https://t.co/WJw9YHHXnK","2020-05-25T09:16:19.000Z"
"@gmawowowin #TutokToWinSaWowowin 
09289422549
Lucita L. Ninolas","2020-05-25T09:16:22.000Z"
"@shinkaiha Try mo yung catcher in the rye dude","2020-05-25T09:16:22.000Z"
"Aii Powta lupit
Mangarap nalang kayo ulit
ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜‚ğŸ˜‚","2020-05-25T09:16:24.000Z"
"'...I have told you this so that you might have peace in me.
In the world you will have trouble,
but take courage, I have conquered the world'- John 16:33","2020-05-25T09:16:24.000Z"
"GONNA LISTEN TO THE WHOLE ALBUM!! BRB!!

#BaekhyunOurCandy #BAEKHYUNÂ 
@B_hundred_Hyun @weareoneEXO","2020-05-25T09:16:26.000Z"
"""So kung di ka andam, dili ka mudawat og tao na musulod sa imo."" -Mayor S.

hugot! ğŸ˜œ","2020-05-25T09:16:27.000Z"
"@gerayaaa supeer!","2020-05-25T09:16:27.000Z"
"STREAM CANDY","2020-05-25T09:16:28.000Z"
"ğŸ­ DELIGHT - The 2nd MINI ALBUM ğŸ­
~ By Byun Baekhyun ~
ğŸ¶ STREAMING PROOFS THREAD ğŸ¶ 

https://t.co/kT5l301Jtl

#ë°±í˜„Â  #BAEKHYUNÂ  #ì—‘ì†Œ #EXO #weareoneEXO #DelightÂ  #Candy #BAEKHYUN_CandyÂ  #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ https://t.co/00kwgWIURG","2020-05-25T09:16:28.000Z"
"IMAGE SAVED ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ https://t.co/FH1XXrlhsk","2020-05-25T09:16:30.000Z"
"@ejsilahis21 @CamzAmarante Ay oo hahahahaha sorry ğŸ˜‚","2020-05-25T09:16:31.000Z"
"Aww https://t.co/d4k8YXqEkr","2020-05-25T09:16:31.000Z"
"The New Normal in some parts of the city. @ Sorsogon, Sorsogon https://t.co/suZ7A6Cklx","2020-05-25T09:16:32.000Z"
"Tae inaantok tuloy ako ğŸ¤£ğŸ¤£","2020-05-25T09:16:32.000Z"
"ito na naman po ang 6.6 ng shopee","2020-05-25T09:16:32.000Z"
"@Ashrica4 @JustSarahG Nasa 19th spot pa sakin..

CONGRATULATIONS SARAHG
@JustSarahG #SarahGeronimo","2020-05-25T09:16:33.000Z"
"â€œmatug nakog sayuâ€

*me everytime daghan kog tots hahaha https://t.co/eI78isykPc","2020-05-25T09:16:34.000Z"
"More of episodes of Control Z please. 
The twist and turns. ğŸ’¯
#ControlZ","2020-05-25T09:16:35.000Z"
"Parang back to normal na talaga. Thank God for medical staff priority lanes! (@ Landers Superstore - @landers_ph in Manila) https://t.co/h2DrCWo7jF","2020-05-25T09:16:36.000Z"
"Monday. Work work work.","2020-05-25T09:16:42.000Z"
"hello naman @B_hundred_Hyun you don't have to go off like that!! ğŸ‘ğŸ‘ğŸ‘ğŸ‘ waaahhh amazing song and choreo!!! ğŸ¥³ğŸ¥³ğŸ¥³ğŸ¥³ğŸ¥³ğŸ¥³ https://t.co/OuRihl6vsH","2020-05-25T09:16:43.000Z"
"@stellamaala_ Sana all. ğŸ¤£","2020-05-25T09:16:45.000Z"
"Tinatamad akong ma duty talaga","2020-05-25T09:16:46.000Z"
"Thank you Mother sa pa top.up . HAHAHA! ILOVEYOU talaga ğŸ˜ https://t.co/Y4p3bHxYk0","2020-05-25T09:16:47.000Z"
"@GreyHuMin RainOnMe ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚","2020-05-25T09:16:49.000Z"
"@WowowinGMA Grace Tenedero","2020-05-25T09:16:51.000Z"
"Videoke and whiskey ğŸ¤ğŸ¶ğŸ¥ƒ","2020-05-25T09:16:53.000Z"
"@AireDiah sure oyps!! hahahaha","2020-05-25T09:16:54.000Z"
"SAME AKALA KO AKO LANG NAKAPANSIN???? https://t.co/RrdiaQbLqj","2020-05-25T09:16:55.000Z"
"@StrangerAld shhhhhh HAHAHAHAHAHAHAHHA pisti kadumdum pa ayy ğŸ¤£","2020-05-25T09:16:57.000Z"
"she ain't coming back : ( https://t.co/8FN3OxsYVg","2020-05-25T09:16:57.000Z"
"aaminin ko na nagselos talaga ako dito acckk!! https://t.co/rw1VGXLvVb","2020-05-25T09:16:58.000Z"
"@SHINee @shineemonth We willâ¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸","2020-05-25T09:16:59.000Z"
"Why no one is talking about the high notes? Like dude he's amazingly amazing â™¥ï¸#ë°±í˜„ #BAEKHYUN #ì—‘ì†Œ #EXO #weareoneEXO #Delight #Candy #í¥ì´_ì—ë¦¬_ê¸°ê°€ë§‰íŒ_ì¼€ë¯¸ìŠ¤íŠ¸ë¦¬ @weareoneEXO @B_hundred_Hyun","2020-05-25T09:17:00.000Z"
"20thğŸ‚ğŸŠ https://t.co/Uwqzbhr2Jz","2020-05-25T09:17:00.000Z"
"@danielcassion26 naol cleared na sa buhatonon","2020-05-25T09:16:58.000Z"
"@MontegrandePHL @differenzz @marky85172357 @ferdiefabulous @_Alexandersab @AlexSuligan @OzaetaMark makikilike po salamat","2020-05-25T09:17:02.000Z"
"@mariachrystn lagot ako kay ed, ay si ed pala yung kabet bab hindi ikaw ğŸ˜‚","2020-05-25T09:17:02.000Z"
"Let's start this work week with the Lord. ğŸ™Œ","2020-05-25T09:17:04.000Z"
"https://t.co/4usfZUqOaW https://t.co/U6bxou6wF9","2020-05-25T09:17:04.000Z"
"HAHAHAHAHAHAHA https://t.co/rF8cuwQQc1","2020-05-25T09:17:04.000Z"
"Sa Male Ward pa naman ako. ğŸ˜“ğŸ˜…","2020-05-25T09:17:05.000Z"
"@demi_borj Sorry na ma. Gusto ko lang naman mapansin mo","2020-05-25T09:17:08.000Z"
"MONDAY RUN! ğŸ’•ğŸ™ğŸ»ğŸš¶ğŸ»â€â™‚ï¸ğŸƒğŸ»â€â™‚ï¸ https://t.co/rNXiCsJgQL","2020-05-25T09:17:10.000Z"
"di mabubuo araw ko talaga pag hindi ako nakakanood ng live ni choox or mga vid nya sa youtube.","2020-05-25T09:17:12.000Z"
"@iamanamel https://t.co/jgN4ocBjnV","2020-05-25T09:17:14.000Z"
"Lord thank you po ğŸ¥ºğŸ’™","2020-05-25T09:17:15.000Z"
"@choi_bts2 @BTS_twt I like this also. But I like the one more that was included in the released August D 2 MV","2020-05-25T09:17:16.000Z"
"kakaantok. ğŸ˜´","2020-05-25T09:17:16.000Z"
"Streaming now!!!!! â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸ https://t.co/9g4VhNF7WJ","2020-05-25T09:17:16.000Z"
